,"citrus fruit,semi-finished bread,margarine,ready soups"
6905,newspapers
6906,soda
6907,packaged fruit/vegetables
6908,"dessert,rolls/buns,waffles"
6909,"hamburger meat,pip fruit,tea,bottled beer,white wine"
6910,"white bread,soda,shopping bags"
6911,"sausage,meat,citrus fruit,yogurt,hard cheese,frozen meals,soda,fruit/vegetable juice,napkins,newspapers"
6912,shopping bags
6913,shopping bags
6914,"beef,root vegetables,herbs,frozen vegetables,fruit/vegetable juice,specialty chocolate"
6915,"citrus fruit,pip fruit,other vegetables,rolls/buns"
6916,"citrus fruit,butter,frozen vegetables,baking powder"
6917,"frozen potato products,seasonal products"
6918,"curd,beverages,pastry,potted plants"
6919,"frankfurter,beef,other vegetables,chocolate,shopping bags"
6920,"whipped/sour cream,UHT-milk,domestic eggs"
6921,"whole milk,soda,specialty bar,newspapers"
6922,"pastry,canned beer,chocolate,newspapers"
6923,"whole milk,curd,soda,bottled beer,cling film/bags"
6924,"whole milk,misc. beverages,salty snack,long life bakery product,shopping bags"
6925,"citrus fruit,oil,baking powder,candy,dishes"
6926,"whole milk,canned fish,bottled beer,abrasive cleaner,cleaner"
6927,"oil,candy"
6928,"meat,hamburger meat,brown bread"
6929,specialty chocolate
6930,bottled beer
6931,ice cream
6932,other vegetables
6933,"beef,whipped/sour cream,roll products"
6934,"canned vegetables,female sanitary products,shopping bags"
6935,"beef,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,domestic eggs,pastry,semi-finished bread,salt,sugar,sweet spreads,soda,fruit/vegetable juice,red/blush wine"
6936,"citrus fruit,tropical fruit,whole milk,butter milk,rice,oil,canned fruit,bottled water,white wine,popcorn,hygiene articles,shopping bags"
6937,"sausage,citrus fruit"
6938,"bottled water,bottled beer"
6939,tropical fruit
6940,"other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese,pickled vegetables"
6941,root vegetables
6942,"dessert,bottled water,fruit/vegetable juice"
6943,"chewing gum,specialty bar"
6944,"onions,whole milk,curd,soda"
6945,"pip fruit,root vegetables,other vegetables,whole milk,margarine,bottled water"
6946,soda
6947,packaged fruit/vegetables
6948,"tropical fruit,other vegetables,packaged fruit/vegetables,butter,bottled water"
6949,canned beer
6950,"sausage,pip fruit,root vegetables,whole milk,butter,domestic eggs,brown bread,cereals,baking powder,fruit/vegetable juice,long life bakery product,chocolate"
6951,"soda,misc. beverages,specialty bar"
6952,"whole milk,semi-finished bread,sugar,coffee,seasonal products,hygiene articles,napkins,shopping bags"
6953,"frozen dessert,pastry,semi-finished bread,vinegar,coffee"
6954,"citrus fruit,tropical fruit,pip fruit,shopping bags"
6955,"coffee,seasonal products,shopping bags"
6956,"oil,canned beer"
6957,tropical fruit
6958,soda
6959,"chicken,curd"
6960,"other vegetables,packaged fruit/vegetables,dessert,frozen vegetables,domestic eggs,flour,salt,sugar"
6961,"dessert,flower soil/fertilizer,flower (seeds)"
6962,"sausage,other vegetables,frozen dessert,pastry,fruit/vegetable juice,long life bakery product"
6963,"condensed milk,pastry,chocolate"
6964,"brown bread,soda"
6965,pip fruit
6966,"bottled water,soda,fruit/vegetable juice,salty snack,newspapers"
6967,shopping bags
6968,"sausage,sparkling wine"
6969,"whole milk,frozen vegetables,bottled water"
6970,soda
6971,"whole milk,yogurt,frozen vegetables"
6972,"pastry,chocolate,specialty bar"
6973,"citrus fruit,tropical fruit,whole milk,curd,yogurt,domestic eggs,bottled water,soda,shopping bags"
6974,ice cream
6975,"whole milk,UHT-milk,frozen potato products,baking powder,pet care,popcorn,candy"
6976,"whole milk,dessert,yogurt,white bread"
6977,"frankfurter,grapes"
6978,"citrus fruit,oil,misc. beverages"
6979,"yogurt,bottled water,soda,newspapers"
6980,"yogurt,waffles,hygiene articles"
6981,"rolls/buns,bottled beer,hygiene articles"
6982,"soda,fruit/vegetable juice,bottled beer"
6983,"onions,whole milk,processed cheese,pastry,oil"
6984,"butter milk,white bread,pet care,newspapers"
6985,"frankfurter,dessert,rolls/buns,artif. sweetener,mustard,canned beer,dish cleaner,male cosmetics"
6986,"frozen dessert,softener"
6987,"citrus fruit,tropical fruit,pip fruit,yogurt,ice cream,soda"
6988,"tropical fruit,other vegetables,whole milk,curd,frozen fish,domestic eggs,baking powder,cling film/bags"
6989,"hard cheese,pastry,popcorn,potted plants"
6990,whipped/sour cream
6991,"pork,bottled water,white wine"
6992,"onions,white bread,hygiene articles"
6993,"tropical fruit,pip fruit,whole milk,hard cheese,frozen meals,white bread,zwieback,sparkling wine,softener,hygiene articles,newspapers"
6994,other vegetables
6995,"sausage,other vegetables,brown bread,misc. beverages,fruit/vegetable juice,chocolate,candy"
6996,chocolate
6997,soda
6998,"yogurt,frozen meals,soda"
6999,"pip fruit,canned beer"
7000,"bottled water,soda,chocolate,shopping bags"
7001,bottled beer
7002,frozen vegetables
7003,detergent
7004,"bottled water,soda,cake bar,chocolate,shopping bags"
7005,other vegetables
7006,"yogurt,margarine,bottled water,chewing gum"
7007,"sweet spreads,waffles"
7008,"tropical fruit,yogurt,spread cheese,brown bread"
7009,"whole milk,brown bread,newspapers"
7010,"citrus fruit,soda"
7011,"citrus fruit,pip fruit,grapes,other vegetables,brown bread,cat food,bottled water,napkins"
7012,"citrus fruit,other vegetables,frozen meals,rice,bottled beer,canned beer"
7013,pork
7014,"yogurt,soda,fruit/vegetable juice"
7015,"beef,tropical fruit,root vegetables,whole milk,rolls/buns,bottled water,salty snack"
7016,shopping bags
7017,"whipped/sour cream,napkins"
7018,"other vegetables,brown bread"
7019,sugar
7020,"packaged fruit/vegetables,whole milk,soda"
7021,"tropical fruit,butter,whipped/sour cream,rolls/buns"
7022,"whole milk,ice cream"
7023,canned beer
7024,"tropical fruit,whole milk,yogurt,pastry,soda,misc. beverages"
7025,"chewing gum,hygiene articles"
7026,"tropical fruit,whole milk,long life bakery product,chocolate"
7027,white wine
7028,"whole milk,coffee"
7029,canned beer
7030,"tropical fruit,pip fruit,other vegetables,curd,beverages,pastry,soda,waffles"
7031,"chicken,beef,packaged fruit/vegetables,dessert,whipped/sour cream,soft cheese,frozen meals,rolls/buns,white bread,pasta,shopping bags"
7032,"sweet spreads,hygiene articles,house keeping products"
7033,"packaged fruit/vegetables,fruit/vegetable juice,salty snack"
7034,"other vegetables,whole milk"
7035,"citrus fruit,condensed milk,flour"
7036,whipped/sour cream
7037,"hamburger meat,citrus fruit,root vegetables,other vegetables,ice cream,domestic eggs,rolls/buns,white bread,canned beer,long life bakery product,cling film/bags"
7038,"bottled water,soda"
7039,"frozen meals,frozen fish,frozen dessert,pastry,canned beer,long life bakery product,waffles,napkins,shopping bags"
7040,"white bread,flour,fruit/vegetable juice,hygiene articles"
7041,"pastry,pickled vegetables,canned beer"
7042,bottled beer
7043,"tropical fruit,yogurt,whipped/sour cream,sliced cheese,coffee,soda,fruit/vegetable juice,hair spray,soap"
7044,"sausage,tropical fruit,whole milk,soft cheese,brown bread,fruit/vegetable juice"
7045,soda
7046,rolls/buns
7047,"UHT-milk,bottled water"
7048,"nuts/prunes,canned fish,soda,shopping bags"
7049,canned beer
7050,"tropical fruit,root vegetables,whole milk,condensed milk,rolls/buns,bottled beer,waffles"
7051,"oil,pickled vegetables,hygiene articles"
7052,rolls/buns
7053,"citrus fruit,tropical fruit,whole milk,rolls/buns,honey"
7054,"berries,yogurt"
7055,"beef,citrus fruit,root vegetables,pasta,canned beer,male cosmetics,hygiene articles"
7056,"citrus fruit,rolls/buns,chewing gum,shopping bags"
7057,"frankfurter,pastry,soda"
7058,"whole milk,sliced cheese,rolls/buns,shopping bags"
7059,"beef,onions,other vegetables,rolls/buns"
7060,"pip fruit,dish cleaner,napkins"
7061,"domestic eggs,candy"
7062,"root vegetables,butter,curd,pastry,chocolate,kitchen towels"
7063,softener
7064,"whole milk,butter,sugar,coffee"
7065,"frankfurter,hygiene articles"
7066,"chicken,root vegetables,other vegetables,curd,yogurt,beverages,margarine,candles,flower (seeds)"
7067,"sausage,chicken,other vegetables,whole milk,whipped/sour cream,hard cheese,frozen meals,rolls/buns,cereals,coffee,nut snack,cake bar,cleaner,skin care,female sanitary products,house keeping products"
7068,"curd,yogurt,bathroom cleaner"
7069,"frankfurter,coffee"
7070,"pip fruit,curd,margarine,baking powder"
7071,"yogurt,light bulbs"
7072,rolls/buns
7073,"chicken,root vegetables,curd,specialty bar,newspapers"
7074,beef
7075,"citrus fruit,whole milk,butter,yogurt,frozen vegetables,rolls/buns,baking powder,instant coffee,napkins,dishes,newspapers"
7076,"beef,soft cheese,bottled beer"
7077,"rolls/buns,bottled water"
7078,"pastry,soda"
7079,canned beer
7080,whole milk
7081,"pip fruit,whole milk,butter,cream cheese,bottled water,newspapers"
7082,"citrus fruit,tropical fruit,whole milk,pastry,margarine,candles"
7083,"other vegetables,whole milk,yogurt,domestic eggs,roll products,newspapers,shopping bags"
7084,"citrus fruit,root vegetables,whole milk,butter milk,yogurt,baking powder,bottled water"
7085,"beef,white wine"
7086,meat
7087,"UHT-milk,condensed milk,sugar,coffee,cling film/bags"
7088,"frankfurter,sausage,finished products,organic sausage,pastry,waffles"
7089,"sausage,sliced cheese,rolls/buns,soda"
7090,"bottled beer,liquor,shopping bags"
7091,soda
7092,"tropical fruit,whole milk,curd,yogurt,brown bread,pastry,cereals,seasonal products"
7093,"other vegetables,whole milk,rolls/buns,flour"
7094,"hamburger meat,rolls/buns,candles"
7095,"fish,root vegetables,rolls/buns,roll products,napkins"
7096,"frankfurter,sausage,chicken,citrus fruit,root vegetables,onions,other vegetables,butter,processed cheese,spread cheese,salad dressing,frozen vegetables,frozen fish,rolls/buns,flour,artif. sweetener,soda,candy,cleaner"
7097,"yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,fruit/vegetable juice,bottled beer,chocolate,newspapers"
7098,"tropical fruit,yogurt,coffee,cling film/bags,newspapers"
7099,"meat,root vegetables,pastry"
7100,"bottled water,soda,salty snack"
7101,"hamburger meat,whole milk,yogurt,salt,canned vegetables,soda,cling film/bags"
7102,"meat,root vegetables,hard cheese,brown bread"
7103,frankfurter
7104,"chicken,citrus fruit,butter,margarine,bottled water,soda,fruit/vegetable juice,newspapers"
7105,"chicken,other vegetables,whipped/sour cream,pickled vegetables"
7106,salty snack
7107,"whole milk,whipped/sour cream"
7108,rolls/buns
7109,"beef,hamburger meat"
7110,"citrus fruit,onions,soups"
7111,"chicken,herbs,curd,oil,soda,canned beer,napkins"
7112,"citrus fruit,other vegetables,curd,brown bread,hygiene articles"
7113,"bottled water,white wine,salty snack"
7114,"sausage,other vegetables,whole milk,UHT-milk,frozen vegetables,frozen fish,cling film/bags,house keeping products,shopping bags"
7115,"pip fruit,grapes,whole milk,rolls/buns"
7116,"frankfurter,beef,whole milk,chocolate marshmallow"
7117,"ham,hamburger meat,whole milk,processed cheese,rolls/buns,pastry,Instant food products,fruit/vegetable juice,salty snack,chocolate marshmallow"
7118,"butter,sliced cheese,brown bread"
7119,"pork,citrus fruit,whole milk,curd,yogurt,bottled beer,dishes"
7120,"pork,beverages"
7121,"citrus fruit,pip fruit,other vegetables,condensed milk,frozen vegetables,pastry,waffles"
7122,canned beer
7123,"berries,liquor"
7124,"condensed milk,bottled water,fruit/vegetable juice,bottled beer,canned beer"
7125,"chicken,rolls/buns,margarine,coffee,bottled water,red/blush wine,long life bakery product,candy,newspapers"
7126,rolls/buns
7127,"pork,citrus fruit,tropical fruit,pip fruit"
7128,"whole milk,rolls/buns,soap,napkins,newspapers"
7129,"root vegetables,frozen vegetables"
7130,"chicken,beef,root vegetables,whole milk,curd,yogurt,hard cheese,cream cheese,domestic eggs,sweet spreads,dog food,napkins"
7131,"root vegetables,other vegetables,whole milk,yogurt,hard cheese,frozen vegetables,rolls/buns"
7132,"tropical fruit,other vegetables,whole milk,margarine"
7133,"root vegetables,other vegetables,yogurt,cream cheese,rolls/buns"
7134,chewing gum
7135,"root vegetables,whole milk,beverages,salt"
7136,"chicken,grapes,whole milk,rolls/buns,white wine,dishes"
7137,canned beer
7138,whole milk
7139,"citrus fruit,tropical fruit,root vegetables,frozen meals,frozen fish,bottled water"
7140,bottled beer
7141,whole milk
7142,"onions,other vegetables,yogurt,whipped/sour cream,UHT-milk,sugar"
7143,"sausage,tropical fruit,berries,other vegetables,whole milk,curd,mayonnaise,rolls/buns,flour,margarine,sugar,cake bar,chocolate"
7144,other vegetables
7145,bottled beer
7146,whole milk
7147,"yogurt,canned fish"
7148,"sausage,pastry,soda,salty snack,newspapers,shopping bags"
7149,specialty chocolate
7150,"zwieback,dishes"
7151,frozen vegetables
7152,"frankfurter,rolls/buns"
7153,"whole milk,rolls/buns,bottled water"
7154,"frankfurter,tropical fruit,root vegetables,butter milk,beverages,brown bread,fruit/vegetable juice"
7155,"pork,canned beer,seasonal products"
7156,canned vegetables
7157,"chicken,berries,other vegetables,yogurt,frozen vegetables"
7158,"pip fruit,root vegetables,other vegetables,beverages,cookware"
7159,"sausage,sliced cheese,rolls/buns,sugar,candy"
7160,"whole milk,oil,candles"
7161,pork
7162,chicken
7163,"coffee,female sanitary products,napkins"
7164,"sausage,root vegetables,frozen vegetables,frozen meals,rolls/buns,bottled water"
7165,"sausage,rolls/buns,male cosmetics"
7166,bottled beer
7167,curd cheese
7168,"frankfurter,rolls/buns"
7169,"sausage,tropical fruit,rolls/buns,pastry"
7170,"soda,salty snack"
7171,"rolls/buns,canned fish,canned beer,waffles,newspapers"
7172,tropical fruit
7173,"butter,beverages,sliced cheese,pastry,shopping bags"
7174,"frankfurter,white wine,dish cleaner"
7175,finished products
7176,"liver loaf,pip fruit,grapes,other vegetables"
7177,"frankfurter,beef,berries,processed cheese,frozen meals,frozen potato products,rolls/buns,ready soups,bottled water,soda,fruit/vegetable juice,red/blush wine,long life bakery product,specialty bar"
7178,"butter milk,instant coffee"
7179,"whole milk,curd,red/blush wine,newspapers"
7180,"whole milk,butter,rolls/buns,pasta,candy"
7181,"root vegetables,other vegetables,butter,domestic eggs,bottled water,soda,misc. beverages"
7182,"whole milk,yogurt,frozen meals,waffles,napkins,newspapers"
7183,"sausage,beef,whole milk,rolls/buns,pastry,fruit/vegetable juice"
7184,waffles
7185,citrus fruit
7186,whole milk
7187,"pork,newspapers"
7188,"berries,other vegetables,yogurt,spread cheese,rolls/buns"
7189,"bottled water,specialty chocolate"
7190,chocolate
7191,fruit/vegetable juice
7192,"whole milk,artif. sweetener"
7193,chocolate marshmallow
7194,"chicken,whole milk"
7195,hygiene articles
7196,pork
7197,"root vegetables,UHT-milk,condensed milk,white bread,shopping bags"
7198,"chicken,ice cream"
7199,"root vegetables,onions,yogurt,whipped/sour cream,UHT-milk,salt,coffee,bottled water,bottled beer"
7200,"pip fruit,whole milk,domestic eggs,sweet spreads,soda"
7201,"pip fruit,whole milk,rolls/buns,ketchup,spices,chocolate"
7202,bottled beer
7203,"rolls/buns,newspapers"
7204,"whole milk,bottled water,bottled beer"
7205,candy
7206,"curd,Instant food products,specialty bar"
7207,"sausage,turkey,pip fruit,curd,yogurt,frozen vegetables,white bread,canned vegetables,sweet spreads,soda,fruit/vegetable juice,hygiene articles"
7208,"frankfurter,sausage,tropical fruit,other vegetables,whipped/sour cream,hard cheese,rolls/buns,semi-finished bread,chocolate,dish cleaner,shopping bags"
7209,"herbs,other vegetables,hygiene articles,napkins"
7210,"grapes,berries"
7211,"sausage,root vegetables,other vegetables,whole milk,soda,candy"
7212,"bottled beer,red/blush wine"
7213,"yogurt,spread cheese,pastry,shopping bags"
7214,"canned beer,red/blush wine"
7215,"nuts/prunes,whole milk,rolls/buns,waffles,chocolate,newspapers"
7216,"grapes,berries,soda"
7217,"grapes,other vegetables,frozen dessert"
7218,"citrus fruit,semi-finished bread"
7219,"whole milk,canned beer"
7220,"rolls/buns,brown bread"
7221,"rolls/buns,snack products"
7222,canned beer
7223,butter
7224,"beef,tropical fruit,root vegetables,yogurt,brown bread,canned fish,canned beer,red/blush wine,newspapers"
7225,soda
7226,"sausage,whole milk,rolls/buns,coffee,newspapers"
7227,"sausage,rolls/buns,soda"
7228,"cream cheese,coffee,bottled water"
7229,"long life bakery product,waffles,newspapers"
7230,"other vegetables,butter milk,yogurt"
7231,"canned beer,newspapers"
7232,"bottled water,soda,bottled beer"
7233,"sausage,domestic eggs,rolls/buns,canned fish,coffee,canned beer,white wine,male cosmetics,napkins,shopping bags"
7234,"pork,root vegetables,other vegetables,beverages,rolls/buns,pastry,sauces,bottled water,soda,red/blush wine,sparkling wine,chocolate,specialty chocolate,candy,napkins,newspapers"
7235,grapes
7236,"bottled beer,prosecco"
7237,instant coffee
7238,"berries,yogurt,cat food,chocolate"
7239,"citrus fruit,pickled vegetables,meat spreads,specialty chocolate"
7240,"beef,whole milk"
7241,"yogurt,bottled beer,white wine,salty snack,napkins"
7242,"frozen meals,zwieback,fruit/vegetable juice,salty snack,long life bakery product,specialty chocolate,hygiene articles,napkins"
7243,"tropical fruit,pickled vegetables,fruit/vegetable juice"
7244,"citrus fruit,butter,sliced cheese,domestic eggs"
7245,salty snack
7246,"soda,chocolate"
7247,"beef,root vegetables,yogurt,whipped/sour cream,frozen vegetables,soups"
7248,"citrus fruit,tropical fruit,pip fruit,other vegetables,zwieback,shopping bags"
7249,"sausage,yogurt"
7250,"root vegetables,whole milk"
7251,"frankfurter,other vegetables,butter,yogurt,soft cheese,rolls/buns,newspapers"
7252,"curd,dessert,soda,bottled beer,cake bar"
7253,curd
7254,"whole milk,mustard"
7255,"whole milk,rolls/buns"
7256,"onions,other vegetables,whole milk,yogurt,frozen vegetables,bottled water,fruit/vegetable juice,bottled beer,salty snack,popcorn"
7257,"whole milk,rolls/buns,vinegar,baking powder,instant coffee,bottled water,napkins,dishes,flower soil/fertilizer"
7258,"root vegetables,onions,whole milk,butter,oil,soups,bottled beer"
7259,"pip fruit,other vegetables,brown bread,fruit/vegetable juice,specialty chocolate"
7260,"beef,pip fruit,other vegetables,whole milk,curd cheese,rolls/buns,pastry,soda"
7261,"citrus fruit,butter milk,sliced cheese,bottled water,cleaner"
7262,"sausage,hamburger meat,root vegetables,onions,meat spreads,napkins,newspapers"
7263,"ice cream,rolls/buns"
7264,"ice cream,chocolate"
7265,"tropical fruit,whole milk,bottled water,soda"
7266,"tropical fruit,rolls/buns,canned fish,specialty chocolate,napkins"
7267,sparkling wine
7268,"sausage,other vegetables,whole milk,whipped/sour cream,domestic eggs,pastry,meat spreads,instant coffee,bottled water,soda"
7269,"tropical fruit,soda,rum"
7270,"long life bakery product,newspapers"
7271,"whole milk,rolls/buns,nut snack"
7272,"ham,pork,hard cheese,domestic eggs,rolls/buns,pastry,sugar,salty snack"
7273,"frankfurter,meat,citrus fruit,pip fruit,brown bread,pickled vegetables,coffee,specialty chocolate,newspapers"
7274,"rolls/buns,Instant food products"
7275,"hamburger meat,frozen vegetables"
7276,"condensed milk,coffee"
7277,"whole milk,pickled vegetables"
7278,bottled beer
7279,"sausage,ham,pip fruit,processed cheese"
7280,"white bread,coffee,seasonal products"
7281,"other vegetables,bottled beer"
7282,"sausage,pip fruit,berries,whole milk,butter,whipped/sour cream"
7283,"beef,tropical fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,cooking chocolate"
7284,"berries,UHT-milk,semi-finished bread,cat food,cake bar,shopping bags"
7285,"beef,root vegetables,whole milk,yogurt,pudding powder,sweet spreads"
7286,"whole milk,butter,butter milk,beverages,domestic eggs,rolls/buns,salt,coffee,chocolate,shopping bags"
7287,"frankfurter,curd,yogurt,hard cheese,brown bread,canned beer"
7288,"tropical fruit,whole milk,domestic eggs,brown bread,soda,canned beer"
7289,"whole milk,house keeping products"
7290,"citrus fruit,brown bread,pastry,white wine,chocolate,shopping bags"
7291,"dessert,UHT-milk,newspapers,shopping bags"
7292,"whole milk,soda,soap"
7293,"pastry,specialty chocolate,female sanitary products"
7294,"curd cheese,rolls/buns,bottled beer"
7295,"other vegetables,whole milk,processed cheese,soda"
7296,male cosmetics
7297,"other vegetables,yogurt,specialty cheese,bottled water"
7298,"finished products,rolls/buns"
7299,"other vegetables,frozen meals,rolls/buns,bottled water,bottled beer,red/blush wine"
7300,fruit/vegetable juice
7301,"berries,other vegetables,yogurt"
7302,"other vegetables,whole milk,butter,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,margarine,napkins"
7303,roll products
7304,"sausage,pork,beef,tropical fruit,grapes,other vegetables,whole milk,frozen dessert,domestic eggs,soda,chocolate"
7305,"beef,citrus fruit,butter,domestic eggs,flour,margarine,baking powder,long life bakery product"
7306,"tropical fruit,whipped/sour cream,UHT-milk,salt,pasta,oil,salty snack,candy"
7307,"sausage,butter,butter milk,ice cream,coffee,salty snack"
7308,specialty chocolate
7309,"bottled water,soda,bottled beer"
7310,"sausage,yogurt,margarine,salty snack"
7311,"whole milk,specialty chocolate,light bulbs"
7312,"beverages,specialty bar"
7313,"pastry,waffles,shopping bags"
7314,"grapes,root vegetables,onions,whipped/sour cream,rolls/buns,mustard,coffee,bottled water,soda,fruit/vegetable juice,chocolate,shopping bags"
7315,"citrus fruit,yogurt"
7316,"citrus fruit,tropical fruit,other vegetables,rolls/buns,shopping bags"
7317,"meat,other vegetables,yogurt,ice cream,fruit/vegetable juice,salty snack,newspapers"
7318,"salty snack,specialty chocolate"
7319,"finished products,beef,frozen meals,rolls/buns,soda"
7320,"bottled beer,liquor"
7321,"citrus fruit,tropical fruit,pastry,seasonal products"
7322,"ice cream,soda,misc. beverages,liquor (appetizer)"
7323,"tropical fruit,root vegetables,yogurt,cream cheese,processed cheese,brown bread,ketchup,salty snack,waffles,candy"
7324,margarine
7325,soda
7326,"sausage,brown bread"
7327,beverages
7328,whipped/sour cream
7329,tropical fruit
7330,"herbs,whipped/sour cream,semi-finished bread,chewing gum,newspapers"
7331,whole milk
7332,"yogurt,bottled beer,white wine"
7333,"hamburger meat,root vegetables,herbs,other vegetables,bottled water,bottled beer,newspapers"
7334,"pip fruit,rolls/buns"
7335,frozen potato products
7336,whole milk
7337,"whole milk,brown bread,fruit/vegetable juice"
7338,"sausage,rolls/buns"
7339,female sanitary products
7340,"beef,whole milk,yogurt,soft cheese"
7341,"sausage,whole milk,rolls/buns,soda,salty snack,long life bakery product,waffles,chocolate marshmallow,candy"
7342,"sausage,beverages,brown bread,salt,soda,salty snack,popcorn,dental care,make up remover"
7343,"tropical fruit,frozen dessert"
7344,"frankfurter,coffee"
7345,"beef,root vegetables,domestic eggs,vinegar,soda"
7346,"curd,ice cream,pasta,cat food"
7347,"bottled water,canned beer,candy"
7348,"yogurt,newspapers"
7349,"root vegetables,other vegetables,pickled vegetables,bottled water,fruit/vegetable juice"
7350,"sliced cheese,domestic eggs,coffee,shopping bags"
7351,"pip fruit,beverages,frozen meals,long life bakery product,chocolate,napkins"
7352,"chicken,whole milk"
7353,"ham,whole milk,hard cheese,cat food"
7354,specialty chocolate
7355,"fish,whole milk,white bread,detergent"
7356,"detergent,hygiene articles,napkins"
7357,"rolls/buns,margarine,canned fish"
7358,"sausage,ham,yogurt,sugar,misc. beverages,abrasive cleaner,cleaner,dishes"
7359,"coffee,fruit/vegetable juice"
7360,"frankfurter,whole milk"
7361,"sausage,beverages,brown bread,pastry"
7362,"whole milk,butter,yogurt,domestic eggs,rolls/buns"
7363,"dessert,beverages"
7364,"pip fruit,other vegetables,whole milk,butter milk,dish cleaner"
7365,"sausage,other vegetables,yogurt,pickled vegetables,bottled water,liquor,shopping bags"
7366,"whole milk,margarine,baking powder,bottled water,bottled beer,waffles,napkins"
7367,"salty snack,specialty chocolate"
7368,"sausage,rolls/buns,bottled beer"
7369,bottled beer
7370,sweet spreads
7371,pip fruit
7372,"pork,bottled water,white wine,shopping bags"
7373,"beverages,pastry,bottled water,fruit/vegetable juice,bottled beer"
7374,whole milk
7375,"tropical fruit,pip fruit,root vegetables,butter,curd,chewing gum,chocolate"
7376,"frankfurter,cream cheese,white bread"
7377,sweet spreads
7378,"soups,male cosmetics"
7379,"soda,syrup"
7380,"root vegetables,yogurt,beverages"
7381,whole milk
7382,"citrus fruit,cat food,coffee,salty snack,napkins"
7383,"whole milk,curd,cream cheese,shopping bags"
7384,"soda,specialty bar"
7385,"sausage,yogurt,fruit/vegetable juice,shopping bags"
7386,whipped/sour cream
7387,"frankfurter,pork,tropical fruit,dessert,pickled vegetables,salty snack,shopping bags"
7388,"other vegetables,brown bread,spices,white wine"
7389,bottled beer
7390,"pip fruit,root vegetables,curd,hard cheese,specialty cheese"
7391,"citrus fruit,whole milk,domestic eggs,specialty chocolate,shopping bags"
7392,whipped/sour cream
7393,"whipped/sour cream,newspapers"
7394,"other vegetables,butter milk,UHT-milk,sliced cheese,cream cheese,processed cheese,specialty cheese,canned vegetables"
7395,"tropical fruit,whole milk,cream cheese,brown bread"
7396,"tropical fruit,rolls/buns,white bread,salty snack,candy"
7397,specialty bar
7398,"meat,brown bread,seasonal products,shopping bags"
7399,"soda,canned beer,liquor (appetizer),salty snack,shopping bags"
7400,"yogurt,specialty bar"
7401,"frankfurter,onions,packaged fruit/vegetables,cream cheese,brown bread,canned fish,shopping bags"
7402,"ham,pip fruit,domestic eggs,pastry,semi-finished bread,cat food,newspapers"
7403,"organic products,softener,hygiene articles"
7404,canned beer
7405,"frozen meals,frozen potato products,coffee"
7406,"other vegetables,whole milk,coffee,soda,canned beer"
7407,"sausage,coffee,long life bakery product,shopping bags"
7408,"sausage,UHT-milk,pickled vegetables,bottled water,canned beer"
7409,"frankfurter,pork,curd,shopping bags"
7410,male cosmetics
7411,frozen meals
7412,"whole milk,pastry,semi-finished bread,sugar,soda,salty snack,specialty bar"
7413,UHT-milk
7414,misc. beverages
7415,fruit/vegetable juice
7416,"root vegetables,other vegetables,whole milk,yogurt,long life bakery product,newspapers"
7417,"frankfurter,whole milk,frozen vegetables"
7418,"grapes,brown bread"
7419,"grapes,sugar,cling film/bags"
7420,bottled beer
7421,"rolls/buns,napkins,shopping bags"
7422,"rolls/buns,bottled water"
7423,"curd,yogurt,newspapers"
7424,"sausage,citrus fruit,butter,yogurt,brown bread,margarine,fruit/vegetable juice,hygiene articles,newspapers"
7425,"frankfurter,sausage,citrus fruit,frozen vegetables,frozen meals,vinegar,oil,coffee,waffles,cooking chocolate,hygiene articles"
7426,"liver loaf,whole milk,rolls/buns,misc. beverages,chocolate"
7427,canned beer
7428,"soft cheese,coffee,candy"
7429,"pork,beef,berries,domestic eggs,oil"
7430,tropical fruit
7431,"pip fruit,grapes,frozen meals,rolls/buns,mustard,canned beer,liqueur"
7432,"citrus fruit,tropical fruit,rolls/buns,soda,specialty bar"
7433,"meat,hamburger meat,other vegetables,whole milk,rolls/buns,candy"
7434,shopping bags
7435,"hamburger meat,whole milk,sliced cheese,pasta,shopping bags"
7436,"root vegetables,margarine,candles"
7437,"beef,root vegetables,whole milk,condensed milk"
7438,"canned beer,salty snack"
7439,"whipped/sour cream,UHT-milk,pastry,margarine,cat food,chocolate,dishes,newspapers"
7440,"tropical fruit,yogurt,rolls/buns,skin care,shopping bags"
7441,"tropical fruit,whole milk,rolls/buns"
7442,pastry
7443,"turkey,pip fruit,root vegetables,yogurt,cream cheese,flour,sugar,napkins,newspapers"
7444,"tropical fruit,butter milk,brown bread,flour"
7445,"sugar,specialty bar"
7446,"finished products,whole milk,softener"
7447,"meat,pip fruit,whole milk,soda,newspapers"
7448,"hamburger meat,pip fruit,curd,dessert,cream cheese,rolls/buns,brown bread"
7449,pork
7450,"whole milk,white bread,mustard,bottled water,soda,newspapers"
7451,"pork,herbs,other vegetables,whole milk,curd cheese,fruit/vegetable juice"
7452,"UHT-milk,soda"
7453,"other vegetables,whole milk,domestic eggs,dishes"
7454,"whole milk,butter,fruit/vegetable juice,candy"
7455,"chicken,whole milk,rolls/buns"
